date,value
2022-11-11,15887.381072962986
2022-11-14,15942.631241890082
2022-11-15,15723.515743507827
2022-11-16,15902.454854612926
2022-11-17,16032.650475730365
2022-11-18,16065.059175791348
2022-11-21,16142.362851630533
2022-11-22,16159.940265271538
2022-11-23,16136.399488650786
2022-11-25,16236.677527697764
2022-11-28,16175.844483459221
2022-11-29,16096.345760354096
2022-11-30,16480.59554177607
2022-12-01,16639.456132291478
2022-12-02,16645.424447071095
2022-12-05,16448.097191078927
2022-12-06,16237.133794571231
2022-12-07,16178.893295298252
2022-12-08,16211.897899208047
2022-12-09,15934.002517233994
2022-12-12,16167.461505343981
2022-12-13,16146.673406920328
2022-12-14,16052.601775533876
2022-12-15,15764.201628804232
2022-12-16,15513.682794449263
2022-12-19,15504.297400685851
2022-12-20,15624.476379668999
2022-12-21,15791.345874340968
2022-12-22,15625.780895734422
2022-12-23,15637.382045588114
2022-12-27,15577.560225935726
2022-12-28,15290.961541259903
2022-12-29,15458.104292212782
2022-12-30,15445.489079368797
2023-01-03,15620.860946512603
2023-01-04,15721.637997162647
2023-01-05,15675.984379413865
2023-01-06,16049.783097370628
2023-01-09,15870.649045687154
2023-01-10,15934.92992817076
2023-01-11,16056.039188882252
2023-01-12,15945.377285488416
2023-01-13,16007.645676203798
2023-01-17,15883.644131023744
2023-01-18,15539.208464385465
2023-01-19,15282.674246120723
2023-01-20,15605.609480731273
2023-01-23,15896.625427057268
2023-01-24,15971.174828023526
2023-01-25,15929.810583345305
2023-01-26,15899.014101499502
2023-01-27,15980.186909904569
2023-01-30,15823.832740699985
2023-01-31,15994.516857276683
2023-02-01,16119.812103438311
2023-02-02,16047.225627666856
2023-02-03,15856.759710264483
2023-02-06,15731.120368880578
2023-02-07,15768.791780850826
2023-02-08,15718.219597562229
2023-02-09,15818.334549264271
2023-02-10,15941.668818568058
2023-02-13,16219.49612896469
2023-02-14,16187.098654067675
2023-02-15,16300.107713050198
2023-02-16,16014.597441224796
2023-02-17,16208.130330884787
2023-02-21,16232.447953966128
2023-02-22,15918.303775465354
2023-02-23,15644.224963732991
2023-02-24,15642.607978669732
2023-02-27,15455.077208851386
2023-02-28,15619.760297943496
2023-03-01,15594.007275074442
2023-03-02,15822.505703040795
2023-03-03,16030.516006672518
2023-03-06,16090.482027914652
2023-03-07,15861.58239139161
2023-03-08,16034.450434423044
2023-03-09,16688.258216095604
2023-03-10,16566.058898306204
2023-03-13,16255.86273934788
2023-03-14,16651.346274005173
2023-03-15,16269.688204986163
2023-03-16,16646.23461989673
2023-03-17,16376.838112582196
2023-03-20,16405.55482968236
2023-03-21,16770.8186826624
2023-03-22,16361.788651082656
2023-03-23,16695.060516359063
2023-03-24,16651.008036575447
2023-03-27,16976.441730860777
2023-03-28,16994.177400951052
2023-03-29,17201.19322207119
2023-03-30,17206.752448482956
2023-03-31,17467.32283953977
2023-04-03,17703.63436998855
2023-04-04,17335.459956675106
2023-04-05,17185.067314675918
2023-04-06,17100.99663174364
