,AAPL,AMD,AMZN,ARKK,AXP,BA,BAC,BNTX,C,CRM,CSCO,CVX,DIS,GE,GEV,GOOGL,GS,HOOD,INTC,JPM,KO,LMT,MA,META,MRNA,MS,MSFT,NFLX,NOC,NVDA,ORCL,OXY,PFE,PLTR,PYPL,QQQ,REGN,RTX,SPY,TSLA,V,VOO,VTI,WMT,XLB,XLE,XLF,XLI,XLK,XLV,XLY,XOM
2022-02-22,161.321271168166,115.65,150.1975,62.8661157024793,183.919771618332,198.74,41.364295228554,146.526133352535,55.8416188618356,193.070377345876,50.5885121655325,115.132641076599,145.667588757775,57.5771199901321,,128.918328936267,312.624158316632,11.31,41.744665005632,138.147012276591,55.6753721408652,349.583085888781,360.773252003486,200.852302040074,144.97,83.8514782410293,279.479034016899,377.38,367.9017305094,23.346724163594,70.5633397616117,36.3784415617592,39.6546859947504,10.48,103.17,330.120089872064,600.34752702723,85.7660077300258,407.48409983132,273.843333333333,215.497314364252,373.832433098031,205.298436203842,43.2608575686462,76.6211351887898,58.5816291222421,36.5624282883118,91.7607174436375,146.591643130647,119.698443205909,169.248440269374,67.6558857790461
2022-02-23,157.148830792893,109.76,144.827,60.3768595041322,180.584290414071,196.42,40.6561268730168,137.992054066608,55.2560204170488,188.528825395804,48.9172043035806,117.871824002515,143.483902843519,56.6597999690466,,126.708175592835,309.827276777098,10.86,41.7073012419214,135.254357380696,55.0585448001909,352.027089855378,353.857345627683,197.244355403071,135.73,82.7895070126468,272.242419240637,367.46,363.523405203258,22.3455798995459,68.9925152796007,36.7296947814318,39.1040423432348,10.43,100.72,321.663984872383,606.411844630103,84.5740491021764,400.255874301803,254.68,210.268593154529,367.102086194032,201.520982846898,42.8169938779456,75.638694118267,59.1853830295512,35.9252562935386,90.0741820270227,142.922726948208,119.096139536974,163.592297830615,67.9301903120242
2022-02-24,159.770105099241,116.61,151.358,65.0776859504132,180.010855250015,198.43,39.5847952582299,150.60254923138,53.0272502167407,202.133692348634,49.1777845616269,117.263116685645,146.956160175648,56.592529834167,,131.775986202376,308.919198355171,11.51,43.6408760139433,131.488448176607,54.0930759191354,358.191410971128,361.841005254141,206.338766347582,156.23,81.2496487314923,286.152261334068,390.03,372.383629102354,23.7040617972223,71.2202299995436,36.9480413774444,38.3448215509936,11.83,105.02,332.473347729943,607.208470916194,86.8846150576999,406.279395576401,266.923333333333,211.583076140213,372.743839716934,205.052286361034,42.6521302213996,75.4162546306015,58.7216300282848,35.4942281794273,91.2236642662797,147.804909063994,119.576100273157,167.330775538425,67.0718825798024
2022-02-25,161.841599026729,121.06,153.7885,67.2595041322314,185.133542715585,201.48,40.8740248285667,147.239750520774,54.1722262804284,205.893582851962,50.3548884859048,122.07190448892,147.084033675131,58.9347536213386,,133.532290937429,317.936417084902,11.61,44.5656291657798,134.59941664955,56.1849251614222,370.664883067315,361.556924114058,209.201269464543,151.33,83.6744830362989,288.79435424567,390.8,387.213440623156,24.1123050713955,72.6863328494206,36.7771614327389,39.8132046217018,11.47,110.94,337.629032995337,616.051022691811,90.4521849279736,415.243533536235,269.956666666667,213.501247608212,380.884625001658,209.615525754635,43.2386643841112,78.1689432904624,60.2703900513821,36.6373896994616,93.4001429324138,149.814077449615,123.236977260899,170.643105528246,68.8769833774647
2022-02-28,162.106671709393,123.34,153.563,69.8876033057851,185.926794692529,205.34,40.1295401471046,147.42548649607,51.7686505742138,208.307828333046,50.1122792801376,125.21979089902,146.031536410152,58.4088234759163,,134.125670682521,309.918084619291,12.01,44.5562882248522,128.98693843959,55.6396140341594,395.204493265256,353.455713671014,209.747928045907,153.6,80.3027243861847,290.231963624041,394.52,417.90355807631,24.3398832291253,72.3245672111393,41.5143332331872,39.162443942638,11.85,111.93,338.634782204306,615.752287834527,94.674270200804,414.18111718544,290.143333333333,210.434120641615,379.928556032173,209.38831051512,42.8518688822149,77.2791853398003,61.7578996780858,36.0939194686256,94.1162138355575,149.542305880546,122.305288773016,171.844067278942,69.3901983101334
2022-03-01,160.221710410447,113.83,151.142,67.7454545454545,170.176442186449,194.91,38.5588590508492,143.437050816049,51.209272955313,206.685138747399,49.0789437740921,130.193799259731,143.316683651887,56.4641050312151,,133.137035475427,299.847494920126,11.77,43.7342854232197,124.120364951214,55.3982468138956,415.985070700435,337.449210812568,202.253735857753,149.52,77.5504489526269,286.50195010178,386.24,431.098323695221,23.4335631974646,72.3626478046425,44.4192922931815,38.1696167527841,12.18,106.51,333.449803272631,604.470068057754,94.7019257811937,407.873020102594,288.123333333333,203.472229272988,374.230006332866,206.122091447085,43.1150166417017,75.499669438476,62.3791536986503,34.7633544207168,92.7123379859732,146.55281862078,121.627697145465,169.238755093965,70.0538383092739
2022-03-02,163.520392683603,118.28,152.0525,67.001652892562,172.32682405166,197.81,39.1853156730551,143.652113524285,52.0570796589596,208.169306051344,50.4537292734396,134.037351174826,144.929857029986,57.5832354569393,,133.643518605128,307.320841990347,11.49,45.6491783133863,126.694645880579,55.8094650410118,409.96316728761,337.067170658664,206.84566794121,147.86,78.2141809703659,291.591864387366,380.03,428.536875641693,24.179181108974,74.5237214859547,45.9192384744858,39.7965184504438,12.06,106.61,339.044893532235,614.268571376681,92.8674389486757,415.376335580084,293.296666666667,202.99512063374,381.102343677877,210.03208702708,43.1689143755725,77.1586972839815,63.8054129289603,35.6628913545143,94.690954955186,149.726722302414,123.46284113675,172.793214469008,71.2572388410487
2022-03-03,163.196414960347,111.98,147.8985,62.7371900826446,171.925419436821,188.85,38.7676779249178,139.06736760779,50.3614662516664,202.58883698851,50.3818450643234,135.846081487812,143.188810152403,56.5374906329019,,132.976152598934,304.616550140976,11.38,44.771129866188,125.794102375254,55.8452231477175,407.977123499417,334.030441230195,201.73689501719,141.52,77.6831953561747,287.444167059227,368.07,425.039695642412,23.6740338900995,74.4951610408273,45.3306519982778,39.9049785636211,11.34,101.34,334.201674040501,608.572693431126,92.0285530101876,413.308418040144,279.763333333333,201.778006758106,379.190205738907,208.432113048826,44.1612667697819,77.2513804038421,63.9804140615137,35.5504492377896,94.7945967964305,147.940794848528,124.093377790165,168.880403603839,71.7085140404643
2022-03-04,160.192257890151,108.41,145.641,59.7322314049587,165.292686039236,180.84,37.3625891039158,133.202021019524,49.4612178962479,200.867202915934,50.7772082144625,137.959165459233,138.418144979365,54.5132711197066,,130.996895976395,301.190504723699,10.96,44.9019030391749,122.255603147256,55.9346184144819,417.388055761819,324.009234116248,198.844574159428,136.46,76.4265294025888,281.557739469409,361.73,442.884765476584,22.8973450832133,72.8196149266821,53.3050494178701,40.589111585201,10.96,99.91,329.358454548767,617.793642692637,91.8073083670698,409.950423502809,279.43,195.020590520586,376.123212213034,206.349306686601,45.2804373613342,76.9825993562463,65.8266760099518,34.8851667138352,94.5873131139415,145.349258814901,124.714503448754,166.197610015592,74.4073167036357
2022-03-07,156.392882771962,102.95,137.453,57.5702479338843,152.084562760472,169.17,34.981237270919,123.416667794767,48.552229265534,194.158766702102,49.9505398096261,140.907048036647,131.316247546512,52.2627793346435,,125.507016092101,294.082602497987,11.42,44.5376063429969,117.534572043579,54.6026289396925,424.676289846932,306.533346050479,186.331062269659,126.46,73.8512491737614,270.921372784837,350.26,451.750589366654,21.3160146589105,70.7537427291282,52.5740629877408,40.0301248480564,11.11,93.61,317.211347597724,615.981317891778,90.5167146155496,397.865437512514,268.193333333333,185.682892866722,365.019559725847,199.987279980169,44.915835043973,74.3133255042599,66.797932295623,33.6108227242887,92.0527989962356,140.03030096311,122.540563643694,158.052377496762,77.0884223001635
