,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JNJ,PG,XOM,JPM,UNH,SH,VOO
2022-11-03,136.734852685128,209.065214852078,82.8546813940981,89.3,13.4051638125484,88.3698444892269,215.31,155.857458619675,123.231396171354,100.24743075733,118.101479238761,516.383901997502,57.7338446981525,326.429529777847
2022-11-04,136.469023118416,216.03242901331,85.9829595481363,90.98,14.1392965449993,90.2384229127984,207.47,156.551294541366,125.480791496455,101.339234458647,121.33255744435,511.216358304659,56.9339179342624,331.208696381701
2022-11-07,137.001565917115,222.355614974763,87.8797885240769,90.53,14.2841254514011,96.1323963445959,197.08,157.920707544702,127.403511151934,102.539316212988,121.973202260975,517.723283726713,56.3426677174741,334.388422458814
2022-11-08,137.573556330532,223.331415277457,88.2869612361899,89.98,14.5847702846905,95.8839151712487,191.3,158.705837666614,127.692852459312,102.864150372057,122.047479920874,525.351110170377,56.0644323213384,336.208145213788
2022-11-09,133.007494926873,219.076925957713,86.7178566382913,86.14,13.7597449282219,100.853538638194,177.59,157.436848283523,127.384843970813,98.2623331185706,120.459794940541,513.581649443479,57.281712179432,329.341086185806
2022-11-10,144.841779342403,237.099957548462,93.292206282651,96.63,15.7314156953757,111.190355449441,190.72,159.280991128015,131.771631534286,99.7060404922135,125.417828738772,516.915855024707,54.1167845483887,347.365918948236
2022-11-11,147.632698083732,241.130012798586,95.7451735970873,100.79,16.3077348608507,112.333368846839,195.97,154.515433876406,131.575626132514,102.819034516631,125.622092303494,495.932207933732,53.6298726051513,350.68930734811
2022-11-14,146.232307761228,235.70456311561,95.0400696322089,98.49,16.2757726194379,113.526078478906,190.95,156.943859602322,131.584959723075,103.116799162445,124.331517962755,488.019406654066,54.0820051238717,347.873525821992
2022-11-15,147.968002808839,236.114399242742,97.7611750741342,98.94,16.6463348558179,116.368703101998,194.42,157.382071763389,131.127613785606,103.808064641526,123.430901336485,477.817307525181,53.5950931806343,350.746772277215
2022-11-16,146.735264848888,236.543751375927,98.1683477862471,97.12,15.8912269024398,112.54209303245,186.92,158.358919705769,132.294312605679,102.698401635632,123.598026071257,485.901093706448,54.0472256993548,348.084230562042
2022-11-17,148.638612259052,236.494824111753,97.6817267400634,94.85,15.6585018321527,110.772907078218,183.17,159.637038508883,131.482290226908,102.834835611767,123.059513036992,489.501275801278,54.2211228219396,347.078594302714
2022-11-18,149.20074076879,236.044693281351,96.7581398564902,94.14,15.3908180603203,111.369261894251,180.19,160.860380791863,133.069000622207,101.943466967688,124.266525010344,503.455543604195,53.9776668503208,348.610992412166
2022-11-21,145.966036361878,236.856885866641,94.9407592146203,92.46,15.2989266162584,109.192566815729,167.87,161.682028593864,134.758380513672,100.933855544293,123.533033118846,491.287118106893,54.1863433974226,347.385073924604
2022-11-22,148.106069460353,239.772950811415,96.3807602696538,93.2,16.0190758680911,110.762967831284,169.91,162.463012422385,135.915745743184,103.853542633571,125.380689908823,496.89162321494,53.4559754825665,352.011000717513
2022-11-23,148.983778887838,242.268241284292,97.7810371576519,94.13,16.4995083093277,111.558107585995,183.2,162.637585278172,136.690433759713,103.33509352426,126.717687786998,503.180067929392,53.1777400864308,354.21382299985
2022-11-25,146.064655398674,242.180172208779,96.7879329817667,93.41,16.2508021183341,110.733150090482,182.86,162.848910314125,136.942440704848,102.971269587901,126.959090181668,510.693904438655,53.2125195109477,354.175513047114
2022-11-28,142.228374867307,236.573107734431,95.3876560937687,93.95,15.8083248387753,108.119128146869,182.92,162.931602719497,136.830437618121,99.878766128853,124.740045092198,505.611853196613,54.0472256993548,348.57268245943
2022-11-29,139.220494245026,235.173787979053,94.5335865025074,92.42,15.6205466704749,108.794996938373,180.83,161.792285134361,135.785075475336,100.542744812708,126.791965446896,501.555711364179,54.1863433974226,347.959723215649
2022-11-30,145.985760169238,249.66604362741,100.293590722641,96.54,16.9070268873412,117.382506289255,194.7,163.547201737272,139.21983680163,101.270392685425,128.296088059843,520.326053895535,52.5169310206086,358.667355005445
2022-12-01,146.261893472267,249.225698249844,100.293590722641,95.5,17.1188267868931,119.708290071786,194.7,164.227117070338,139.303839116675,100.779230371341,126.494854807302,510.019463993449,52.5169310206086,358.715242446366
2022-12-02,145.768798288286,249.548618193393,99.7473834259045,94.13,16.860071249233,122.739760386623,194.86,164.355749700917,140.573207432914,99.9242441208978,125.492106398671,510.874388501456,52.6212692941594,358.198058084426
2022-12-05,144.605093654092,244.832029927013,98.7940034170547,91.01,16.5943223186632,121.68620021163,182.45,164.263869250503,139.154501667706,97.1864689997991,121.973202260975,509.807208340457,53.5950931806343,351.819450953831
2022-12-06,140.936465485278,239.861019886928,96.3112429773419,88.25,15.9719103496971,113.426686009567,179.82,161.801473179403,139.331839888357,94.4850762723363,122.177465825696,513.885361098563,54.3602405200074,346.733804728087
2022-12-07,138.993670460395,239.127110924317,94.2853104585361,88.46,16.104784814982,113.237840317823,174.04,162.784593998835,140.227864582173,94.2758775089301,122.09390345831,517.306054650339,54.4645787935583,346.063380555202
2022-12-08,140.680055989608,242.092103133265,93.0637923221974,90.35,17.1527946953118,114.629334888567,173.44,162.812158133959,141.235892362716,94.9762385864205,123.375193091561,522.079780191954,54.0820051238717,348.792964687663
2022-12-09,140.196822709308,240.154583471973,92.1898606474185,89.09,16.9849532654782,115.195871963799,179.05,161.470703557912,140.862548740292,94.1758259264315,122.706694152474,513.771020367027,54.4993582180752,346.245352830699
2022-12-12,142.494646266656,247.092469531855,92.6665506518434,90.55,17.5184492388778,114.013101578666,167.82,163.40019301661,142.309255277183,96.4952035207178,124.610059187375,520.116930967258,53.7342108787021,351.187336733682
2022-12-13,143.461112827258,251.407854232007,94.9705523398969,92.49,18.0549423806672,119.420051910703,160.95,164.658955187284,142.094582694289,97.5502929361578,124.48935799004,512.837237726152,53.3168577844986,353.782836031567
2022-12-14,141.232322595666,251.701417817052,94.4144140014012,91.58,17.6573180409424,120.851303469183,156.8,165.164297664562,142.654598127924,96.8317406618495,123.867282588389,512.970635246277,53.6298726051513,351.647056166518
2022-12-15,134.614985226649,243.66756103967,90.2334454209247,88.45,16.9359995151101,115.444353137147,157.67,163.07861144016,141.039886960944,95.903989624135,120.794044410085,502.794310139601,55.0210495858296,342.998584336298
2022-12-16,132.652466394407,239.440245415031,89.6375829153937,87.86,16.5553591295947,118.704426131463,150.23,161.406387242622,140.414536393385,95.2309153418715,120.041983103612,499.002009210334,55.6818586516519,338.908996881697
2022-12-19,130.542019006971,235.291213413071,87.8301333152827,84.92,16.2386583363969,113.784498899187,149.87,161.231814386835,140.377202031142,95.6584084670929,120.756905580136,498.906725267388,56.1687705948893,335.987862985554
2022-12-20,130.472985681214,236.61224954577,88.4061337372961,85.19,16.0698178504334,116.378642348932,137.8,161.406387242622,140.433203574506,97.0409394252557,121.341842151837,495.676599601505,56.0644323213384,336.497098032302
2022-12-21,133.579485340291,239.185823641326,88.9622720757917,86.77,16.4854252004974,119.032421280281,137.57,163.253184295947,141.721239071866,98.287036407284,122.706694152474,502.660912619476,55.2645055574483,341.530071472142
2022-12-22,130.403952355457,233.079701072403,87.1548224756808,83.79,15.324521977482,116.408460089734,125.35,162.655961368255,142.047914741486,96.3041959541295,121.313988029375,502.232134876217,56.1026236074005,336.728056660516
2022-12-23,130.039061919311,233.608115525483,88.6146856142319,85.25,15.1916475121971,117.322870807652,123.15,163.069423395119,142.449259135591,98.8509635086399,121.889639893589,506.253117268556,55.7886163857173,338.614218790934
2022-12-27,128.234333545943,231.876090373721,86.7873739306033,83.04,14.1076716111886,116.169918163321,109.1,163.023483169912,143.690626680149,100.224398868394,122.316736438006,506.901048080591,55.9979545335061,337.26696012635
2022-12-28,124.29943397778,229.498225334862,85.4268212096406,81.82,14.0227518401419,114.91757304965,112.71,162.316003701722,141.833242158593,98.5780955563709,122.985235377094,503.527996500288,56.6957483594688,333.128951370841
2022-12-29,127.8201335914,235.83919877182,87.8400643570415,84.18,14.5892166658302,119.529383626976,121.82,163.14292775545,142.42125836391,99.3239346259061,123.69087314613,504.890556884422,55.7537266944191,339.037642942661
2022-12-30,128.135714509147,234.674729884477,87.6215814383468,84.0,14.6002062832597,119.608897602447,123.18,162.306815656681,141.45989853617,100.324450450892,124.507927405015,505.176408713261,55.9281751509098,338.104185153627
2023-01-03,123.342829320858,234.439879016442,88.5054441548846,85.82,14.3014885004012,123.982166253359,108.1,163.721774593059,141.46923212673,96.8772186538943,125.454967568722,494.180641697246,56.1026236074005,336.805042869921
2023-01-04,124.615014895527,224.184724445558,87.472615811964,85.14,14.7350788608046,126.596188196973,113.64,165.504255331095,142.085249103729,97.1591822045722,126.624840712125,480.707492164624,55.718837003121,339.230108466173
2023-01-05,123.293519802459,217.54040197072,85.6055799612999,83.12,14.2515356939031,126.168800578815,110.34,164.282245340586,140.321200487779,99.3330302243151,126.596986589663,466.853206860216,56.3817411377856,335.525147138566
2023-01-06,127.829995495079,220.104190613441,86.737718721809,86.08,14.8449750351004,129.230088634454,113.06,165.614511871592,143.662625908467,100.533649214299,129.019492650004,466.891320437395,55.0908225597546,343.156405145819
2023-01-09,128.352676390098,222.247204784265,87.4130295614109,87.36,15.6132491990409,128.68343005309,119.77,161.323694837249,141.907910883078,98.6599559420516,128.486354250624,466.948490803163,55.1257122510527,342.906199965253
2023-01-10,128.924666803516,223.940088124688,87.810271231765,89.87,15.8939839715601,132.182044973819,118.85,160.937796945509,141.767907024669,100.133442884304,129.636810796655,463.079962719539,54.7419256467732,345.350512113856
2023-01-11,131.646552219087,230.711621486378,90.8888941770089,95.09,15.9858971355166,132.08265250448,123.22,160.680531684349,140.619875385717,101.297679480652,130.60020123764,470.130974497573,54.0790215121087,349.757972602282
2023-01-12,131.567656989651,233.392835563117,90.5015835484137,95.27,16.495415761797,135.879444833227,123.56,159.871983720705,139.826520188068,102.98036518631,130.469254964108,472.293920002456,53.9394627469161,351.066738162164
2023-01-13,132.899013986398,234.097388167223,91.48475668254,98.12,16.8830495402221,136.147804500442,122.4,159.348265153344,140.82521437805,102.916695997448,133.761618412912,466.481599482725,53.7650142904255,352.4332433791
2023-01-17,134.062718620591,235.193358884722,90.6604802165554,96.05,17.6852916125814,134.537646497152,131.49,158.365144333912,140.414536393385,102.71659283245,131.694537952157,462.203350444432,53.8696833643199,351.894339913266
2023-01-18,133.34279965198,230.750763297718,90.4916525066549,95.46,17.3605983703438,132.211862714621,128.78,155.976252623143,136.65309939747,100.60641400157,127.738089830441,453.780249887969,54.672146264177,346.178113864958
2023-01-19,133.401971074058,226.95400759781,92.4083435661132,93.68,16.7491760188073,135.322847004929,127.17,155.76492758719,133.781433589696,101.252201488607,126.035788274526,461.517306055217,55.1257122510527,343.685685335477
2023-01-20,135.966066030756,235.06614799787,97.3440713202624,97.25,17.8221623023861,138.523284517642,133.42,155.039072028918,134.298073025691,103.098607965627,126.344447347851,463.766007108753,54.1488008947049,350.008177782848
2023-01-23,139.161322822949,237.375514866886,99.1018657115791,97.52,19.1748843023542,142.39959082186,143.75,154.643986092137,132.494531721855,102.561967659498,128.392821198101,462.89892322794,53.5207864513385,354.27128912864
2023-01-24,140.561713145453,236.847100413806,97.0262779839792,96.32,19.2468163437114,142.270380611719,143.89,154.643986092137,133.217826932248,103.517005492439,129.496511217871,468.415863524537,53.5556761426366,353.895981357791
2023-01-25,139.900965598919,235.447780658428,94.563379627784,97.18,19.3047615992492,140.640344114561,144.43,155.746551497107,133.12389248934,102.971269587901,130.123182669774,469.273419011055,53.5556761426366,354.021083948074
