,NVDA,MSFT,AAPL,AVGO,ORCL,PLTR,BRK.B,JPM,V,BAC,MA,GS,LLY,JNJ,ABBV,UNH,ABT,AMZN,TSLA,HD,MCD,GE,CAT,RTX,GEV,WMT,COST,PG,KO,GOOGL,META,NFLX,XOM,CVX,COP,LIN,SCCO,NEE,CEG,WELL,PLD,SPY
2012-02-17,0.363369024986336,24.6794375664278,15.073348532035,2.56104841087929,23.662027575612,,79.42,26.4697834546359,26.06982006163,6.30380805635685,36.6145607064264,89.8248245758122,29.1219274575554,43.8695601259637,,44.0611566303918,20.6467657947252,9.125,2.33133333333333,34.0597396469198,69.133104432893,71.5117524150842,80.2792277480323,30.2313230808165,,15.7312102633067,61.740810649535,43.7138607176622,22.5628313754268,15.0582460857852,,17.40712545,49.9499942855705,61.3011185315985,35.0573229066006,,18.8794965254671,10.2993241920126,,31.827022908811,22.5458798447042,106.764349135323
2012-02-21,0.365088436776492,24.8294885468317,15.4554956817459,2.57776353955416,23.6209333978148,,79.63,26.4629028246763,25.8862138165216,6.37454904452046,36.9427972986179,90.3827908746181,28.7436242735678,43.903311133908,,44.5768687782237,20.5734983504572,9.113,2.3,34.2128662863086,69.4788045250667,71.9939374676755,81.0189661344776,30.2962745985361,,15.1244206228687,61.5873174538869,43.3838685477091,22.4876763976375,15.2913520386877,,16.7714118,50.5042163665246,62.3069028690287,35.2819268019946,,19.1670611290567,10.3318195689054,,31.0982035958974,22.3204210462572,106.811309482425
2012-02-22,0.362681260270274,24.6952324064703,15.4011605410564,2.6090135627289,23.4647755221856,,78.93,26.1945582562513,26.375830470144,6.24878728778516,37.6159134651401,88.6236471269941,28.7955482399975,43.8763103275526,,44.4640567458855,20.599141955951,9.029,2.28133333333333,33.9576552206605,69.5963425564058,71.9197551518922,81.5896214611639,30.292666180885,,14.7543041201948,61.6238634528507,43.3973376158705,22.6281835300261,15.1404308768726,,16.0571268,50.7084034489814,61.783895013565,35.425290990544,,19.5133123864402,10.2924830600352,,30.6964921635828,21.8230854614475,106.46693360368
2012-02-23,0.364744554418461,24.7742066066829,15.501725580454,2.70276363225315,23.6784652467309,,79.37,26.4835447145551,26.4030313953453,6.30380805635685,37.5484169264641,89.7395797246058,28.7732951115276,43.9438123434411,,44.2706646904485,20.6211221892314,8.9445,2.302,34.234741520507,69.7000525840579,72.253575572917,81.8643814332721,30.1266789689349,,14.7391973241673,61.9600866433182,44.7307753638442,22.6053102759164,15.0948556745423,,16.14141243,50.7667426153976,62.2724188346025,35.7502498179225,,19.5602617094752,10.2976139090183,,31.2072395560971,22.3204210462572,106.936537074696
2012-02-24,0.361993495554211,24.8610782269167,15.6824424572222,2.63953684117866,24.040094011346,,80.04,26.3390514854032,26.643306234623,6.19376651921347,38.4277211494896,89.7938264481008,28.9661555582664,43.8965609323191,,44.8427828544496,20.7713204499808,8.9565,2.25,34.2566167547054,69.3612664937277,71.9916516842529,81.723478883473,30.2998830161872,,14.8021423076153,61.6896462509856,44.9260768521837,22.5464933367769,15.1892436618821,,15.95284119,50.9534279479295,62.6919745867876,36.29503373441,,19.4781003941639,10.3933897567022,,31.1613296781182,22.4663061511347,107.171338810203
2012-02-27,0.354657338582878,24.7584117666404,15.7830074966198,2.68750199302827,24.0483128469054,,80.25,26.8757406222531,26.4891676584826,6.31952827594877,38.9630704083033,90.0728095975037,29.0625857816358,43.889751040769,,44.9072468729286,20.7346867278468,8.9265,2.24133333333333,34.2201580310414,69.3889225011016,71.3555508117829,81.4628091663447,30.1771968160502,,14.719054929464,62.1939810366868,44.9193423181031,22.4909440053675,15.174550017415,,15.62998437,50.8892548648717,63.0080782356942,36.524416436089,,19.2198791174711,10.401941171674,,31.3966178027596,22.4729372922655,107.351353474092
2012-02-28,0.35144776990792,25.1690776077457,16.0726948489143,2.68968222720325,24.1551577091781,,79.44,26.9789500716473,26.9629171057377,6.38240915431641,39.2006952088475,91.0260020246303,29.2257753904147,44.3868731239305,,44.9958848983372,20.8958751052364,9.19,2.254,34.4389103730255,69.4718905232233,71.6923100972082,81.5543958237141,30.1194621336328,,14.8373914983461,62.3255466329567,45.3840251696696,22.4974792208274,15.4006827153161,,16.18855524,50.8367496150971,62.9965835575522,36.9258361640271,,19.3431210904381,10.3437915498659,,31.1154198001394,22.2740030583416,107.664422454769
2012-02-29,0.347321181611545,25.0664111474694,16.2837313345756,2.7332869107029,24.0442034291257,,78.45,26.9995919615262,26.3780972139108,6.27236761717303,38.8336249916644,89.4947815994871,29.1070920385755,44.3187742084289,,44.9233628775483,20.7383501000602,8.9845,2.22733333333333,34.6868296939408,69.1237651948848,71.2807154150217,80.4624010627711,30.2637988396763,,14.8751584884149,62.9029734165856,45.5389194535252,22.8275076015542,15.3971960878154,,15.81855561,50.4633789500333,62.7149639430718,36.5817621115087,,18.8736278600877,10.2805110790747,,31.2416719645812,22.3204210462572,107.241779330856
2012-03-01,0.349613730665087,25.5007692486385,16.344670746509,2.71221131367807,24.5167864737932,,78.78,27.7771031469626,26.5617034590192,6.3904171959153,38.8733832267749,94.1506244150241,29.188686842965,44.148526919675,,45.2476974705208,20.9984495272116,9.002,2.294,34.60662050188,69.1028776751845,71.5426393036858,79.8847006085949,30.3684429515578,,14.809695705629,62.9760654145133,44.8924041817804,22.742549800575,15.5005496887284,,16.10712675,50.6558981992068,63.0827936436176,37.3798227611001,,18.9910011676753,10.3323368784987,,31.5400861714434,22.4132570220883,107.797476771557
2012-03-02,0.352594044434691,25.3309747181815,16.3659845309784,2.65988569347849,24.6236313360659,,78.29,27.9559995259125,26.3304955948086,6.39828716783146,38.1660564858553,93.2412193909543,29.2851170663343,44.107667570374,,45.1264766342897,21.0240931327054,8.965,2.26933333333333,34.5701617782159,69.2769403393537,70.981373827977,79.250639134499,30.5055628222992,,14.8575338930494,63.0272298130627,44.899138715861,22.6053102759164,15.4719095342585,,16.4428407,50.3642023671257,62.9965835575522,37.1074308028563,,18.6975678987063,10.3306093518513,,31.3794015985176,22.3734701753035,107.468754341846
