,AAPL,AMD,AMZN,ARKK,AXP,BA,BAC,BNTX,C,CRM,CSCO,CVX,DIS,GE,GEV,GOOGL,GS,HOOD,INTC,JPM,KO,LMT,MA,META,MRNA
2001-03-16,0.294490458653835,23.4,0.55,,23.828175636615,35.1730845183803,13.3331040668395,,242.841562293945,,13.0530561873193,17.4411559430513,21.1932139018906,107.347214793822,,,61.5954975223726,,15.8642937234269,21.9360422474918,12.1304153161398,19.7019511492128,,,
2001-03-19,0.308599583584243,23.73,0.525,,24.1901542083604,36.6585338552496,13.7403603583752,,247.111304048564,,13.6225726809486,17.7521068375789,21.5705640040682,108.669224828228,,,63.980520213416,,15.3976968492085,22.2165165427154,12.0680801911853,19.2759630162568,,,
2001-03-20,0.295541138169929,22.43,0.5125,,23.2602437395663,35.9910632281101,13.3045701865408,,236.436949662017,,12.4769935270966,18.0650510070713,20.723451529792,105.893003755974,,,61.250759729272,,14.0149768439026,20.9568425150443,11.826219906362,18.621006261837,,,
2001-03-21,0.301995312340222,23.29,0.5,,21.8372934920157,35.2385228151587,13.2163745565267,,225.495736415806,,12.6406476919326,17.8756898854039,21.0853995869828,103.11678268372,,,59.8014539052162,,14.5441659817357,19.7808187157732,11.282657616759,18.3494388270776,,,
2001-03-22,0.324509873399384,26.45,0.5095,,21.6563042061431,34.0279143247587,12.8843439494147,,216.689394046905,,12.928679022044,17.4411559430513,20.7696576647526,99.6795565942629,,,60.4416812352602,,16.3252003918622,19.146061100267,11.3998476516734,18.1044956506279,,,
2001-03-23,0.345223269573812,29.44,0.5095,,22.9669162762555,34.6822972925425,13.6910745651321,,228.69804273177,,12.2347853631393,17.2816939458577,21.4242445766932,105.734362551845,,,63.1855126497349,,16.39348286126,20.5238295680323,11.3449927417135,18.5837323002034,,,
2001-03-26,0.326911426579028,28.74,0.547,,23.5785352423079,36.278991733935,13.6184428698263,,235.903231942689,,11.7045458690707,17.2298687967698,21.5012548016274,106.368927368361,,,62.7844911353116,,16.1089725721024,20.720653634856,11.1953884418228,19.2280393512993,,,
2001-03-27,0.343272007615352,29.69,0.582,,24.7456040856937,36.1219398216669,14.1320527152026,,247.911880627555,,11.8682000339067,17.5069340168937,22.4869856807851,110.810881083967,,,65.7815992957378,,16.7178245908997,21.3357288436797,11.6217606965113,19.3877849011577,,,
2001-03-28,0.33276521245441,27.7,0.54,,24.3461794548023,35.9910632281101,14.1164887804942,,240.706691416636,,10.310212384668,17.2617611962085,21.8400997913379,109.859033859194,,,61.3844335674131,,15.3294143798107,20.9371601083619,11.4571959666315,18.6742547784565,,,
2001-03-29,0.338168707108609,28.3,0.5,,24.3149744055139,36.6127270475047,13.7896461516184,,238.571820539326,,9.98290405499598,17.2258822468399,21.639873206509,109.462430848872,,,61.9824481064652,,15.1131865600509,21.1585871835385,11.100639051892,19.1641411313559,,,
2001-03-30,0.331264241717132,26.54,0.5115,,25.7753707122106,36.4556751352366,14.2020904213903,,240.066230153443,,10.3494893842286,17.5009541919989,22.0249243311799,110.678680080526,,,59.8718085568694,,14.9709314154721,22.0935015009507,11.2602169717754,18.9830961748496,,,
2001-04-02,0.324059582178201,25.5,0.455,,24.7830501448398,36.0041508874658,14.0101352266537,,245.883753294111,,9.85852688972062,17.3155796202613,21.5397599140945,110.520038876398,,,59.2104748313293,,14.6807309205314,21.945883450833,11.4322619166497,19.1428417247081,,,
2001-04-03,0.303796477224955,23.68,0.4315,,23.7095964493192,35.7358538706744,13.5535931418748,,233.234643346053,,9.00097906597998,17.1421646983133,20.869770957167,104.914716330513,,,57.2053672592132,,14.2255144578792,20.4697029496558,11.1355467218665,19.1162174663983,,,
2001-04-04,0.292689293769102,20.74,0.42,,22.6423837636562,35.7489415300301,13.0503592529707,,227.897466152779,,8.96170206641934,17.4810214423497,20.869770957167,104.703194725008,,,54.5459614267225,,12.8769356872723,19.7512951057497,11.282657616759,18.9032233999203,,,
2001-04-05,0.313252592869803,23.02,0.456,,23.9621470161787,37.1754963997988,13.4498335771523,,240.172973697308,,9.77997289059934,17.8756898854039,21.6244711615221,111.313244897042,,,60.5050004217481,,14.5839974222178,20.7289345871147,11.2951246417499,19.1428417247081,,,
2001-04-06,0.309049874805426,20.05,0.4185,,22.9613786730337,36.6323585365383,12.8635920364702,,228.164325012443,,8.9224250668587,17.7839992370176,21.9402130837523,108.854306233045,,,59.2386166919906,,13.4459562655875,19.7016687361372,11.2203224918045,19.1694659830178,,,
2001-04-09,0.308299389436787,19.7,0.559,,23.2240803631092,37.2147593778659,13.1255849373945,,228.591299187905,,9.48539539389454,18.2384659290194,22.0249243311799,111.04884289016,,,59.0979073886842,,13.2012774169119,19.716556647021,10.9460479420049,19.0629689497788,,,
2001-04-10,0.330813950495949,21.32,0.6005,,23.8745797861535,39.1451891328281,13.4679915009787,,242.307844574618,,10.3822202171958,18.497591674459,22.5254907932522,115.887399616089,,,61.778419616671,,14.0946397248667,21.1209829070529,10.8837128170504,19.3877849011577,,,
2001-04-11,0.327211620726483,23.51,0.666,,24.0497142462039,38.6871210553795,13.6314128154166,,247.324791136295,,11.3903298725856,18.098936681475,22.0480273986602,114.406748377553,,,64.2337969593675,,15.6594463152335,21.8256773555495,11.003396256963,19.3824600494958,,,
2001-04-12,0.336517639297603,24.85,0.7335,,24.5125696049085,39.5901695509211,13.7351723801391,,252.448481241837,,11.7700075350051,18.298264177967,22.4022744333575,118.187697075956,,,66.1333725540038,,16.0008586622226,22.1333608471466,11.1131060768829,19.5155813410445,,,
2001-04-16,0.321808126072284,23.5,0.7015,,24.0997526633611,39.0993823250833,13.605472924236,,250.580469224192,,11.2594065407168,18.696919170951,22.4561815908114,118.055496072516,,,64.5714992873028,,14.965241209689,22.1929124906815,11.3225520967299,19.3025872745666,,,
2001-04-17,0.306198030404599,23.0,0.737,,24.3812187598707,39.6556078476995,13.4887434139232,,255.757531101667,,10.905913544671,18.5872890478804,23.1030674802587,120.197152328254,,,65.500180689125,,14.817295859327,22.1333608471466,11.3948608416771,19.3025872745666,,,
2001-04-18,0.34207123102553,27.85,0.827,,26.632947531947,40.1136759251482,14.313631953467,,267.12571852334,,11.7372767020379,18.6291478221437,24.5662617540084,126.622121095471,,,70.1084103724093,,17.7989636896985,23.9496859749618,11.6566683664858,19.2493387579471,,,
2001-04-19,0.386049673627759,29.01,0.7995,,26.8706300134439,39.675239336733,14.6300986258706,,268.460012821658,,12.378801028195,18.4876252996344,24.5508597090216,128.261413538135,,,68.7294592000067,,18.4874785894599,23.8057695030857,11.8436737413492,18.7434778500619,,,
2001-04-20,0.375843072614272,29.0,0.789,,25.9574289003241,40.3754291122617,14.2695341384599,,263.763296891577,,12.5359090264376,18.5872890478804,24.1504065393637,127.177365309922,,,67.3856853534306,,18.4533373547609,23.3144684439226,11.7190034914403,18.621006261837,,,
2001-04-23,0.363985403789781,27.6,0.81,,25.3382034880031,39.354591682519,14.2487822255154,,258.799722101833,,11.3445067064315,18.8783071927587,23.1261705477389,124.79774724799,,,65.4837268498318,,17.2527039345159,23.0712992328217,11.8312067163583,18.3707382337254,,,
2001-04-24,0.36068326816777,27.35,0.784,,25.4883187394749,39.7864844412563,14.1372406934387,,259.92052931242,,10.6440668809334,18.796582919197,22.0095222861931,121.598482964726,,,64.384817492197,,16.581259652104,23.1209256024341,11.8162462863693,19.1108926147364,,,
2001-04-25,0.371039966254985,26.9,0.8045,,25.7072368145378,39.4854682760757,14.2410002581612,,263.122835628384,,10.2971200514811,18.9998969656189,23.7268503022257,126.410599489966,,,65.3851067792748,,16.5186673884894,23.160626698124,12.0182120912218,19.1108926147364,,,
2001-04-26,0.370589675033801,27.51,0.7715,,26.2076209861103,39.9042733754574,14.2980680187586,,264.243642838972,,9.95671938862222,19.5061888067086,24.2736228992584,130.350189392498,,,65.1526451843906,,16.2967493629464,23.6568903942484,11.6940694414585,19.0097204331593,,,
2001-04-27,0.393254333166691,30.0,0.7635,,27.3585045807271,40.3165346451612,14.7649860600098,,271.715690909555,,10.2120198857664,19.4324376330066,23.8192625721467,132.068802437226,,,65.4696382683237,,17.1730410535518,24.3169211100938,11.7190034914403,19.1694659830178,,,
2001-04-30,0.382597440932021,31.0,0.789,,26.5453803019218,40.4408674090401,14.5263390611481,,262.322259049393,,11.1153908756611,19.247063061269,23.2955930425942,128.314293939511,,,64.1734887695749,,17.5884260757219,23.403795909225,11.5170376865878,18.7221784434141,,,
2001-05-01,0.389201712176042,31.86,0.8445,,26.4265390611733,41.5075116465277,14.6430685714609,,268.993730540985,,11.6521765363232,19.2251370366549,23.5266237173968,129.31902156566,,,65.2653538364557,,17.742061631867,23.771031044357,11.8760880063256,19.7711742208181,,,
