,AAPL,MSFT,AMZN,PLTR,ORCL,HOOD,VOO,NVDA
2006-06-09,1.78675556565507,15.5030957480445,1.694,,10.8509232073046,,,0.329515882053566
2006-06-12,1.71110664049629,15.277903254201,1.68,,10.6420971500212,,,0.30827158353527
2006-06-13,1.75103246210787,15.1371579455487,1.6735,,10.5617794356814,,,0.30353364645565
2006-06-14,1.72941848349107,15.3975367665554,1.684,,10.5939065214173,,,0.312398173894939
2006-06-15,1.78255284759069,15.531244809775,1.748,,11.0035268645502,,,0.339755939612744
2006-06-16,1.7279175127538,15.5523566060728,1.7545,,11.3970836648151,,,0.331044248853443
2006-06-19,1.7171105234454,15.8690335505404,1.7535,,11.4774013791549,,,0.32110986465424
2006-06-20,1.7252157654267,15.876070815973,1.774,,11.445274293419,,,0.316066254214645
2006-06-21,1.73692333717746,16.2420086184688,1.8325,,11.6701638935704,,,0.319581497854363
2006-06-22,1.7885567305398,16.1012633098166,1.8185,,11.5095284648908,,,0.310258460375111
2006-06-23,1.76604216948064,15.8338472233773,1.8275,,11.9673394366276,,,0.310411297055098
2006-06-26,1.77084527583993,16.0590397172209,1.8385,,11.7826086936461,,,0.307507400135331
2006-06-27,1.72401498883687,16.0871887789514,1.824,,11.6460685792684,,,0.297725852616116
2006-06-28,1.68168761404565,16.2983067419297,1.835,,11.7103227507403,,,0.314232214054792
2006-06-29,1.77024488754502,16.5166027156493,1.926,,11.8388310936839,,,0.328446025293652
2006-06-30,1.71921188247759,16.3968284579863,1.934,,11.6380368078345,,,0.325389291693897
2006-07-03,1.73962508450456,16.6783190752908,1.9305,,11.8950534937218,,,0.330127228773517
2006-07-05,1.71115166961841,16.4320147851493,1.8555,,11.7022909793063,,,0.315302070814706
2006-07-06,1.67418276035926,16.5234992357733,1.84,,11.6460685792684,,,0.305520523295491
2006-07-07,1.66307557690341,16.3968284579863,1.8055,,11.8709581794198,,,0.296044649136251
2006-07-10,1.65106781100519,16.5375737666385,1.7895,,11.7183545221743,,,0.283206368017281
2006-07-11,1.6705804305898,16.256083149334,1.783,,11.6781956650044,,,0.292682242176521
2006-07-12,1.58982820492427,15.9323689394339,1.7315,,11.4211789791171,,,0.278621267617649
2006-07-13,1.56851442045493,15.6649528529946,1.6865,,11.3247977219093,,,0.271437943658225
2006-07-14,1.52108374515696,15.6860646492925,1.646,,11.4774013791549,,,0.270062413538335
2006-07-17,1.5721167502244,15.8197726925121,1.6835,,11.5818144077966,,,0.272202127058163
2006-07-18,1.58802704003954,16.00274159376,1.6745,,11.822767550816,,,0.287027285016974
2006-07-19,1.6240503377342,16.4672011123124,1.724,,12.1038795510052,,,0.299559892775969
2006-07-20,1.81617459210571,16.0801515135187,1.709,,12.1440384081751,,,0.293599262256447
2006-07-21,1.82277886334973,16.7979525876452,1.6595,,12.1440384081751,,,0.271590780338213
2006-07-24,1.84379245367161,16.8894370382691,1.7155,,12.0315936080994,,,0.298948546056018
2006-07-25,1.85904231636235,17.0442568777866,1.6795,,11.9914347509295,,,0.309494276975172
2006-07-26,1.91734001979821,17.1498158592758,1.313,,12.0637206938353,,,0.309494276975172
2006-07-27,1.9032308948678,16.7979525876452,1.328,,11.9432441223256,,,0.313926540694816
2006-07-28,1.96897341316055,17.0653686740844,1.3585,,12.1038795510052,,,0.346480753532205
2006-07-31,2.0401194261075,16.9316606308648,1.3445,,12.0235618366654,,,0.338380409492855
2006-08-01,2.01670428260598,16.8823997728365,1.316,,11.8307993222499,,,0.324777944973946
2006-08-02,2.04612330905661,17.1005550012475,1.3045,,11.8950534937218,,,0.349690323811947
2006-08-03,2.08905107214275,17.037219612354,1.3345,,11.8629264079859,,,0.371698805730182
2006-08-04,2.05032602712099,17.0935177358149,1.3645,,11.7424498364762,,,0.366655195290586
2006-08-07,2.01760486504834,17.0442568777866,1.339,,11.7424498364762,,,0.36237576825093
2006-08-08,1.94465768721666,17.1287040629779,1.318,,11.8870217222878,,,0.372004479090157
2006-08-09,1.90893458366946,17.1990767173041,1.3105,,12.0074982937975,,,0.371851642410169
2006-08-10,1.92334390274732,17.2131512481693,1.3245,,12.1520701796091,,,0.369253418850378
2006-08-11,1.91073574855419,17.1920394518715,1.3035,,12.0396253795334,,,0.35763783117131
2006-08-14,1.9194413788304,17.2624121061976,1.3265,,12.2805785225527,,,0.355803791011457
2006-08-15,1.99479010984173,17.3890828839846,1.3885,,12.6259446942138,,,0.39003920732871
2006-08-16,2.04071981440242,17.4455868088716,1.3975,,12.4813728084022,,,0.418008319766467
2006-08-17,2.02901224265165,17.4455868088716,1.4545,,12.6982306371196,,,0.411436342526994
2006-08-18,2.03861845537023,18.2154527854575,1.456,,12.6179129227798,,,0.418161156446454
2006-08-21,1.99809224546374,18.4485314756165,1.4065,,12.561690522742,,,0.402724651767693
2006-08-22,2.02991282509402,18.0953819450725,1.4185,,12.4331821797983,,,0.402113305047742
2006-08-23,2.0206068065229,18.1306968981269,1.407,,12.3046738368547,,,0.401807631687766
2006-08-24,2.03561651389567,18.1801378324031,1.3985,,12.3528644654585,,,0.405934222047435
2006-08-25,2.06383476375649,18.2578307291227,1.4015,,12.3769597797605,,,0.404711528607533
2006-08-28,2.01070039965687,18.3284606352315,1.4455,,12.4813728084022,,,0.418619666486418
2006-08-29,1.99569069228409,18.2507677385119,1.476,,12.4653092655342,,,0.437571414804897
2006-08-30,2.01010001136195,18.2225157760683,1.5335,,12.6580717799497,,,0.446588778924174
2006-08-31,2.03681729048549,18.1518858699595,1.5415,,12.5777540656099,,,0.444907575444309
2006-09-01,2.05272758030063,18.2507677385119,1.588,,12.4492457226663,,,0.426261500485805
2006-09-05,2.14578776601184,18.0883189544616,1.6115,,12.7223259514215,,,0.435584537965057
2006-09-06,2.10225961463079,18.0883189544616,1.54,,12.545626979874,,,0.41372889272681
2006-09-07,2.18541339347596,17.9611851234658,1.4865,,12.8588660657992,,,0.421982073446148
2006-09-08,2.17700795734721,18.0812559638508,1.5255,,12.7785483514594,,,0.423357603566038
2006-09-11,2.1764075690523,18.300208672788,1.5395,,13.0837556659506,,,0.42992958080551
2006-09-12,2.18031009296922,18.3143346540098,1.586,,13.0917874373845,,,0.441239495124603
2006-09-13,2.22744057411973,18.3496496070642,1.5835,,13.1640733802903,,,0.444754738764321
2006-09-14,2.22653999167736,18.5968542784449,1.5825,,13.2283275517622,,,0.443073535284456
2006-09-15,2.22443863264517,18.9641297902107,1.626,,13.1158827516865,,,0.451785226043757
2006-09-18,2.21813455554861,18.9217518465454,1.604,,13.0516285802146,,,0.468902934202384
2006-09-19,2.21453222577914,18.9711927808215,1.579,,12.9552473230069,,,0.456675999803365
2006-09-20,2.25926115375001,19.1972084803697,1.606,,14.400966181123,,,0.473335197922028
2006-09-21,2.24094931075523,18.9994447432651,1.511,,14.5214427526327,,,0.469514280922335
2006-09-22,2.19141727642507,18.829932968604,1.542,,14.0877270951978,,,0.455606143043451
2006-09-25,2.27397066697533,19.0347596963195,1.5895,,14.4330932668589,,,0.471959667802139
2006-09-26,2.32980677840205,19.2113344615914,1.625,,14.6097922384064,,,0.462025283602936
2006-09-27,2.29378348070739,19.3808462362525,1.6165,,14.400966181123,,,0.460649753483046
2006-09-28,2.31179512955472,19.352594273809,1.592,,14.4491568097269,,,0.451938062723745
2006-09-29,2.31089454711236,19.3172793207546,1.606,,14.2483625238774,,,0.45224373608372
2006-10-02,2.24725338785179,19.3243423113655,1.5435,,14.1841083524056,,,0.44078098508464
2006-10-03,2.22353805020281,19.3314053019764,1.593,,14.3768708668211,,,0.432527804365302
2006-10-04,2.26286348351948,19.7339957667965,1.638,,14.5937286955385,,,0.475016401401893
2006-10-05,2.24635280540943,19.7198697855747,1.666,,14.6660146384443,,,0.461566773562972
2006-10-06,2.22804096241464,19.6845548325203,1.6295,,14.6097922384064,,,0.472723851202077
2006-10-09,2.24034892246032,19.5786099733571,1.669,,14.8989360100296,,,0.503138350519638
2006-10-10,2.21573300236897,19.5574210015245,1.631,,15.0515396672752,,,0.491675599520557
2006-10-11,2.19832174181655,19.4514761423613,1.6455,,14.9230313243316,,,0.494426659760336
2006-10-12,2.25926115375001,19.9317595039011,1.6775,,15.2523339531247,,,0.496413536600177
2006-10-13,2.25205649421108,20.0377043630643,1.666,,15.3165881245965,,,0.516129468318595
2006-10-16,2.26346387181439,20.0942082879513,1.63,,15.2523339531247,,,0.515212448238669
2006-10-17,2.23014232144683,20.0871452973405,1.6235,,14.9631901815015,,,0.495496516520251
2006-10-18,2.23734698098576,20.1436492222275,1.6155,,15.0515396672752,,,0.482352562041305
2006-10-19,2.37123357075091,19.9812004381773,1.627,,15.1559526959169,,,0.491522762840569
2006-10-20,2.40005220890664,20.0800823067296,1.6285,,15.2443021816907,,,0.485867805681023
2006-10-23,2.44538152517241,20.0942082879513,1.644,,15.3808422960683,,,0.48265823540128
2006-10-24,2.43307356512674,19.9741374475664,1.6815,,15.1720162387849,,,0.496719209960152
2006-10-25,2.45198579641644,19.995326419399,1.884,,14.9551584100675,,,0.501304310359785
2006-10-26,2.46729569793666,20.0235783818425,1.915,,15.0354761244073,,,0.51719932507851
2006-10-27,2.41386113968959,20.0165153912317,1.912,,14.5375062955006,,,0.4948851698003
2006-10-30,2.41416133383704,20.1507122128384,1.9075,,14.8748406957277,,,0.500845800319821
2006-10-31,2.43397414756911,20.2778460438342,1.9045,,14.8346818385578,,,0.532941503117247
