Date,HOOD,NVDA,ORCL,PLTR,VOO
2024-03-28,20.1299991607666,90.3200454711914,123.5605239868164,23.010000228881836,472.8822326660156
2024-04-01,19.40999984741211,90.32704162597656,123.43265533447266,22.860000610351562,472.2624816894531
2024-04-02,19.200000762939453,89.4164047241211,122.31124877929688,22.719999313354492,469.1734924316406
2024-04-03,19.209999084472656,88.92859649658203,124.18024444580078,22.700000762939453,469.59649658203125
2024-04-04,18.450000762939453,85.87081146240234,122.16368103027344,22.479999542236328,463.8121643066406
2024-04-05,18.399999618530273,87.97297668457031,122.86210632324219,22.959999084472656,468.74066162109375
2024-04-08,18.559999465942383,87.09832763671875,122.32107543945312,23.0,468.9276123046875
2024-04-09,18.299999237060547,85.32002258300781,121.61055755615234,22.809999465942383,469.5079650878906
2024-04-10,18.34000015258789,87.00436401367188,120.14999389648438,22.420000076293945,464.963134765625
2024-04-11,19.0,90.57994079589844,121.62041473388672,22.84000015258789,468.3176574707031
2024-04-12,17.969999313354492,88.1509017944336,119.51840209960938,22.670000076293945,461.9332275390625
2024-04-15,17.190000534057617,85.9667739868164,118.3045654296875,21.899999618530273,456.07012939453125
2024-04-16,17.309999465942383,87.3802261352539,119.03484344482422,21.8799991607666,455.2536315917969
2024-04-17,17.079999923706055,84.0015640258789,117.1104736328125,21.309999465942383,452.5090026855469
2024-04-18,17.079999923706055,84.6373062133789,114.4755630493164,21.1299991607666,451.4761047363281
2024-04-19,16.6299991607666,76.16968536376953,113.37027740478516,20.469999313354492,447.69854736328125
2024-04-22,17.190000534057617,79.48635864257812,113.0248794555664,20.969999313354492,451.5843200683594
2024-04-23,17.6200008392334,82.39020538330078,113.5775146484375,21.639999389648438,457.2801208496094
2024-04-24,17.309999465942383,79.64529418945312,113.82422637939453,21.59000015258789,456.9456787109375
2024-04-25,17.1200008392334,82.59912872314453,113.3801498413086,21.709999084472656,455.056884765625
2024-04-26,17.8799991607666,87.7000961303711,115.66966247558594,22.520000457763672,459.61163330078125
2024-04-29,17.34000015258789,87.72207641601562,114.95912170410156,22.829999923706055,461.2150573730469
2024-04-30,16.489999771118164,86.36762237548828,112.25511932373047,21.969999313354492,453.92559814453125
2024-05-01,16.649999618530273,83.00794982910156,113.12356567382812,22.1200008392334,452.4499816894531
2024-05-02,17.610000610351562,85.78285217285156,113.44923400878906,22.549999237060547,456.6701965332031
2024-05-03,17.950000762939453,88.75366973876953,114.27820587158203,23.329999923706055,462.3365478515625
2024-05-06,17.780000686645508,92.10334014892578,116.7848129272461,25.209999084472656,466.9994812011719
2024-05-07,17.989999771118164,90.5179672241211,116.38019561767578,21.399999618530273,467.66839599609375
2024-05-08,17.850000381469727,90.37602233886719,115.84729766845703,21.559999465942383,467.68804931640625
2024-05-09,17.299999237060547,88.7116928100586,115.1071548461914,21.139999389648438,470.3736877441406
2024-05-10,16.229999542236328,89.84223175048828,115.13675689697266,20.600000381469727,470.95404052734375
2024-05-13,16.889999389648438,90.363037109375,114.8406982421875,20.940000534057617,470.9835510253906
2024-05-14,18.020000457763672,91.31965637207031,119.28157043457031,21.440000534057617,473.2167053222656
2024-05-15,18.520000457763672,94.59233856201172,120.03156280517578,21.670000076293945,478.9813537597656
2024-05-16,17.899999618530273,94.32144927978516,120.55461120605469,21.649999618530273,478.0664978027344
2024-05-17,20.09000015258789,92.44219970703125,121.87700653076172,21.760000228881836,478.7747802734375
2024-05-20,20.84000015258789,94.74227905273438,122.88358306884766,21.6200008392334,479.2469787597656
2024-05-21,20.959999084472656,95.34805297851562,122.99214172363281,21.239999771118164,480.53570556640625
2024-05-22,19.65999984741211,94.91222381591797,122.9625473022461,21.170000076293945,479.1387634277344
2024-05-23,19.239999771118164,103.75769805908203,122.45924377441406,20.719999313354492,475.57763671875
2024-05-24,20.510000228881836,106.4266357421875,121.29475402832031,21.010000228881836,478.8141784667969
2024-05-28,20.469999313354492,113.85566711425781,122.8539810180664,21.049999237060547,479.1977844238281
2024-05-29,21.084999084472656,114.77930450439453,122.11384582519531,20.940000534057617,475.82354736328125
2024-05-30,21.84000015258789,110.45602416992188,115.55122375488281,21.729999542236328,472.6264343261719
2024-05-31,20.899999618530273,109.5893783569336,115.6499252319336,21.68000030517578,476.73846435546875
2024-06-03,21.280000686645508,114.95423126220703,117.71245574951172,21.31999969482422,477.2597961425781
2024-06-04,20.780000686645508,116.39067077636719,118.49207305908203,22.100000381469727,477.8402404785156
2024-06-05,21.56999969482422,122.39127349853516,121.01842498779297,22.959999084472656,483.55572509765625
